diagnostic amiante,Repérage des matériaux amiantés
repérage plomb,Détection de plomb dans les revêtements
repérage termites,Inspection parasitaire
plan de retrait,Procédure de désamiantage
plan de prévention,Mesures de sécurité inter-entreprises
PPSPS,Plan particulier de sécurité et de protection de la santé
DICT,Déclaration d’intention de commencement de travaux
constat huissier,PV d’huissier
DOC,Déclaration d’ouverture de chantier
attestation RT,attestation de prise en compte de la réglementation thermique
fiche technique produit,Spécification fabricant
PV de contrôle,Procès-verbal de vérification
fiche chantier,Dossier d'identité du chantier
tableau d’avancement,Planning d’exécution détaillé
budget prévisionnel,Plan de financement estimatif
rapport journalier,Relevé quotidien d’activités
main d’œuvre,Ressources humaines de chantier
déboursé sec,Coût direct hors marge
prix de revient,Coût réel total d’exécution
coût global,Somme des dépenses projet
planning ,Diagramme de phases / planning à barres / Délai 
GMAO,Gestion de maintenance assistée par ordinateur
,
fissuration,Ouverture structurelle / lézarde
efflorescence,Dépôt salin en surface / remontée de sels
soulèvement,Déformation ascendante / relèvement de dalle
humidité ascensionnelle,Remontée capillaire
infiltration,Pénétration d’eau parasite
condensation,Formation de vapeur en eau / humidité intérieure
pont thermique,Zone de déperdition thermique
décollement,Perte d’adhérence / désolidarisation de revêtement
moisissure,Champignon microscopique / colonie fongique
corrosion,Oxydation métallique
carbonatation,Réaction chimique du béton avec le CO₂
désaffleurement,Défaut d’alignement entre deux éléments
cloquage,Boursouflure de peinture / enduit
faïençage,Fissuration fine en réseau
éclatement,Rupture explosive de surface
retrait,Diminution de volume / séchage du béton
gonflement,Expansion volumique
affaissement,Enfoncement progressif / tassement
flèche,Déformation verticale d’un élément porteur
désolidarisation,Rupture de liaison mécanique
,
reprise en sous-œuvre,Renforcement de fondation existante
injection de résine,Consolidation par polymère expansif
micropieux,Pieux de faible diamètre pour reprise de charge
tirants d’ancrage,Barres de stabilisation en traction
chemisage,Gaine de renfort structurel
renfort structurel,Consolidation de portance
passivation,Traitement anticorrosion des aciers
sablage,Nettoyage par projection de sable
hydrogommage,Décapage par eau et abrasif fin
piquage,Démolition localisée d’enduit ou béton
rabotage,Usinage de surface bétonnée
ponçage béton,Lissage mécanique de surface
rabaissement de plancher,Abaissement de niveau fini
surélévation,Ajout d’un niveau ou rehaussement
désamiantage,Retrait de matériaux contenant de l’amiante
déplombage,Élimination de revêtements au plomb
traitement fongicide,Protection contre les champignons
traitement anti-termite,Protection contre les insectes xylophages
traitement hydrofuge,Imperméabilisation des matériaux poreux
,
audit énergétique,Diagnostic global de consommation
bilan thermique,Évaluation des déperditions et apports
étanchéité à l’air,Étanchéité à l’air (la perméabilité à l’air désigne la mesure inverse)
test Blower Door,Test d’infiltrométrie
perméabilité,Capacité à laisser passer l’air
déperdition,Perte de chaleur
déphasage thermique,Décalage de transmission de chaleur
inertie thermique,Capacité de stockage thermique
pont thermique,Zone de faiblesse thermique
isolant biosourcé,Matériau isolant d’origine naturelle
laine de bois,Isolant en fibre ligneuse
fibre de bois,Panneau isolant bois reconstitué
ouate de cellulose,Isolant issu de papier recyclé
liège expansé,Isolant naturel à base de liège
chanvre,Matériau isolant végétal
enduit terre,Revêtement naturel à base d’argile
peinture naturelle,Finition sans composés organiques volatils
panneau solaire,Capteur thermique ou photovoltaïque
photovoltaïque,Production d’électricité solaire
pompe à chaleur double service,Générateur thermique et sanitaire combiné
,
RT2012,Réglementation thermique 2012 (norme de référence avant RE2020)
RE2020,Réglementation environnementale 2020 (actuelle norme de construction)
HQE,Haute Qualité Environnementale (label de performance globale)
BREEAM,Méthode d’évaluation environnementale britannique
BBC rénovation,Bâtiment Basse Consommation rénovation
NF Habitat,Certification qualité logement de l’AFNOR
RGE,Reconnu Garant de l’Environnement (qualification entreprise)
QUALIBAT,Certification technique et administrative d’entreprise BTP
QUALIFELEC,Certification des installateurs électriques
QUALISOL,Qualification solaire thermique
QUALIPAC,Qualification des installateurs de pompes à chaleur
Consuel,Attestation de conformité électrique délivrée par le CONSUEL
DPE,Diagnostic de performance énergétique
FDES,Fiche de déclaration environnementale et sanitaire d’un produit
ACERMI,Association pour la Certification des Matériaux Isolants (certification des performances des isolants)
CEKAL,"Certification des vitrages isolants, feuilletés ou trempés"
CSTB,Centre scientifique et technique du bâtiment (référent technique national)
ATEx,Appréciation Technique d’Expérimentation
Avis Technique,Document officiel de validation d’une solution technique par le CSTB
,
copropriété,Immeuble à propriété partagée
syndic,Copropriété
assemblée générale,Assemblée générale des copropriétaires
autorisation de travaux,Accord préalable de la copropriété
servitude,Droit de passage ou de contrainte légale
mitoyenneté,Propriété partagée entre deux parties
cage d’escalier,Circulation verticale commune
hall d’immeuble,Entrée principale collective
gaine technique,Espace pour réseaux et canalisations
colonne montante,"Réseau vertical de distribution (eau, électricité…)"
réseaux encastrés,Câblage intégré dans murs/plafonds
goulotte,Cheminement de câbles apparent protégé
accessibilité,Conformité PMR / mobilité réduite
trémie,"Ouverture structurelle pour escalier, ascenseur, gaine"
passage de câbles,Réseau courant faible ou fort / cheminement technique
reprise de nez de dalle,Réfection de l’extrémité de dalle
seuil PMR,Seuil conforme aux normes d’accessibilité
garde-corps,Barrière de sécurité 
rampes d’accès,Rampe
contrôle d’accès,Dispositif de sécurisation des entrées
,
base vie,Installation de chantier/barraque de chantier/algeco
bungalow,Module de chantier préfabriqué
clôture de chantier,Barrière périphérique temporaire
portail coulissant,Portail coulissant de chantier
contrôle d’accès,Gestion des entrées par badge ou code
badge ou digicode,Digicode (dispositif de contrôle d’accès)
plan de circulation,Organisation des déplacements sur site
flux chantier,"Mouvement des personnes, engins et matériaux"
plan de repli,Organisation du démontage des installations
rotation des bennes,Fréquence d’évacuation des déchets
benne ,Conteneur de déchets standard chantier
big bag,Sac souple pour gravats ou vrac
stock tampon,Zone intermédiaire de stockage
phasage,Découpage des travaux par étapes
planning TCE,Calendrier tous corps d’état
livraison cadencée,Approvisionnement organisé et séquencé
point d'eau chantier,Raccordement temporaire à l’eau
alimentation provisoire,Raccord électrique temporaire
branchement EDF chantier,Branchement provisoire
coffret chantier,Tableau électrique temporaire
groupe électrogène,Source autonome de courant
horaire bruit,Période autorisée pour les nuisances sonores
arrêté municipal,Autorisation d’occupation ou de travaux en voirie
voirie occupée,Espace public temporairement neutralisé
emprise chantier,Surface totale utilisée par le chantier
stationnement gênant,Blocage des accès ou circulation
autorisation voirie,Accord administratif pour intervention en domaine public
plan de récolement,Plan tel que construit (as-built)
accès PMR temporaire,Itinéraire provisoire accessible aux personnes handicapées
coordination avec riverains,Gestion des échanges avec les habitants et voisins
